Model Type,Checkpoint,SNR (dB),Mean Sigma
ModelType.VDPCIFAR10,2kqf8ewj,-6,649962299850752.0
ModelType.VDPCIFAR10,2kqf8ewj,-3,797167136538624.0
ModelType.VDPCIFAR10,2kqf8ewj,1,929957257674752.0
ModelType.VDPCIFAR10,2kqf8ewj,5,2158905845088256.0
ModelType.VDPCIFAR10,2kqf8ewj,10,829037337378816.0
ModelType.VDPCIFAR10,2kqf8ewj,20,984798017355776.0
ModelType.VDPCIFAR10,2kqf8ewj,40,1029399172349952.0
ModelType.VDPCIFAR10,13kx3rx7,-6,128090328006656.0
ModelType.VDPCIFAR10,13kx3rx7,-3,50984462057472.0
ModelType.VDPCIFAR10,13kx3rx7,1,68626547736576.0
ModelType.VDPCIFAR10,13kx3rx7,5,93521570693120.0
ModelType.VDPCIFAR10,13kx3rx7,10,165282387591168.0
ModelType.VDPCIFAR10,13kx3rx7,20,262653322723328.0
ModelType.VDPCIFAR10,13kx3rx7,40,344311791091712.0
ModelType.VDPCIFAR10,231605qm,-6,1.226951897382912e+16
ModelType.VDPCIFAR10,231605qm,-3,4834329289031680.0
ModelType.VDPCIFAR10,231605qm,1,5470008608030720.0
ModelType.VDPCIFAR10,231605qm,5,6163835878637568.0
ModelType.VDPCIFAR10,231605qm,10,4473098648682496.0
ModelType.VDPCIFAR10,231605qm,20,1850658189737984.0
ModelType.VDPCIFAR10,231605qm,40,1764703814549504.0
ModelType.VDPCIFAR10,mndx8nli,-6,517972217036800.0
ModelType.VDPCIFAR10,mndx8nli,-3,412222404689920.0
ModelType.VDPCIFAR10,mndx8nli,1,614104624529408.0
ModelType.VDPCIFAR10,mndx8nli,5,734428535980032.0
ModelType.VDPCIFAR10,mndx8nli,10,4105843511394304.0
ModelType.VDPCIFAR10,mndx8nli,20,8274091286986752.0
ModelType.VDPCIFAR10,mndx8nli,40,5413057341685760.0
ModelType.VDPCIFAR10,w7vu4kt5,-6,444150755360768.0
ModelType.VDPCIFAR10,w7vu4kt5,-3,206730835263488.0
ModelType.VDPCIFAR10,w7vu4kt5,1,236531499401216.0
ModelType.VDPCIFAR10,w7vu4kt5,5,338745580584960.0
ModelType.VDPCIFAR10,w7vu4kt5,10,482729191800832.0
ModelType.VDPCIFAR10,w7vu4kt5,20,947932836659200.0
ModelType.VDPCIFAR10,w7vu4kt5,40,1643059200655360.0
