Model Type,Checkpoint,SNR (dB),Mean Sigma
ModelType.VDPCIFAR10,2kqf8ewj,-6,1
ModelType.VDPCIFAR10,2kqf8ewj,-3,0.05561
ModelType.VDPCIFAR10,2kqf8ewj,1,0.0008694
ModelType.VDPCIFAR10,2kqf8ewj,5,0.000115
ModelType.VDPCIFAR10,2kqf8ewj,10,0.00002041
ModelType.VDPCIFAR10,2kqf8ewj,20,0.000009869
ModelType.VDPCIFAR10,2kqf8ewj,40,0.00001633
ModelType.VDPCIFAR10,13kx3rx7,-6,1
ModelType.VDPCIFAR10,13kx3rx7,-3,0.0218
ModelType.VDPCIFAR10,13kx3rx7,1,0.003453
ModelType.VDPCIFAR10,13kx3rx7,5,0.0001162
ModelType.VDPCIFAR10,13kx3rx7,10,0.00003183
ModelType.VDPCIFAR10,13kx3rx7,20,0.00003036
ModelType.VDPCIFAR10,13kx3rx7,40,0.00002484
ModelType.VDPCIFAR10,231605qm,-6,1
ModelType.VDPCIFAR10,231605qm,-3,0.07746
ModelType.VDPCIFAR10,231605qm,1,0.024
ModelType.VDPCIFAR10,231605qm,5,0.009862
ModelType.VDPCIFAR10,231605qm,10,0.004092
ModelType.VDPCIFAR10,231605qm,20,0.0008808
ModelType.VDPCIFAR10,231605qm,40,0.0005427
ModelType.VDPCIFAR10,mndx8nli,-6,1
ModelType.VDPCIFAR10,mndx8nli,-3,0.07132
ModelType.VDPCIFAR10,mndx8nli,1,0.000585
ModelType.VDPCIFAR10,mndx8nli,5,0.0002691
ModelType.VDPCIFAR10,mndx8nli,10,0.0001771
ModelType.VDPCIFAR10,mndx8nli,20,0.0001411
ModelType.VDPCIFAR10,mndx8nli,40,0.00006648
ModelType.VDPCIFAR10,w7vu4kt5,-6,1
ModelType.VDPCIFAR10,w7vu4kt5,-3,0.01072
ModelType.VDPCIFAR10,w7vu4kt5,1,0.0004277
ModelType.VDPCIFAR10,w7vu4kt5,5,0.00007375
ModelType.VDPCIFAR10,w7vu4kt5,10,0.00001748
ModelType.VDPCIFAR10,w7vu4kt5,20,0.000003466
ModelType.VDPCIFAR10,w7vu4kt5,40,0.00000231
