Model Type,KF,SNR (dB),Mean Sigma
VDP_Cov,0,-6,1.7998426
VDP_Cov,0,-3,0.69607264
VDP_Cov,0,1,0.2651587
VDP_Cov,0,5,0.17620409
VDP_Cov,0,10,0.14420427
VDP_Cov,0,20,0.1356689
VDP_Cov,0,40,0.13299187
VDP_Cov,1,-6,1.5072744
VDP_Cov,1,-3,0.54593325
VDP_Cov,1,1,0.18126607
VDP_Cov,1,5,0.118854664
VDP_Cov,1,10,0.101833835
VDP_Cov,1,20,0.09068553
VDP_Cov,1,40,0.088886894
VDP_Cov,2,-6,2.3211238
VDP_Cov,2,-3,0.9378707
VDP_Cov,2,1,0.2947405
VDP_Cov,2,5,0.16789208
VDP_Cov,2,10,0.118703246
VDP_Cov,2,20,0.11382351
VDP_Cov,2,40,0.114045456
VDP_Cov,3,-6,1.7516811
VDP_Cov,3,-3,0.63030994
VDP_Cov,3,1,0.20541145
VDP_Cov,3,5,0.12097499
VDP_Cov,3,10,0.09141864
VDP_Cov,3,20,0.086888835
VDP_Cov,3,40,0.08631416
VDP_Cov,4,-6,0.7927534
VDP_Cov,4,-3,0.37250325
VDP_Cov,4,1,0.20545477
VDP_Cov,4,5,0.16866963
VDP_Cov,4,10,0.15491846
VDP_Cov,4,20,0.14806679
VDP_Cov,4,40,0.14891821
VDP,0,-6,110434880.0
VDP,0,-3,43119732.0
VDP,0,1,15281537.0
VDP,0,5,8886152.0
VDP,0,10,7225351.5
VDP,0,20,6174457.5
VDP,0,40,6116167.5
VDP,1,-6,71552130.0
VDP,1,-3,24753254.0
VDP,1,1,8831831.0
VDP,1,5,5387883.5
VDP,1,10,3998446.5
VDP,1,20,3511356.5
VDP,1,40,3459290.2
VDP,2,-6,103732830.0
VDP,2,-3,35012564.0
VDP,2,1,14353785.0
VDP,2,5,9412097.0
VDP,2,10,7804720.5
VDP,2,20,7175013.0
VDP,2,40,7114070.5
VDP,3,-6,172878860.0
VDP,3,-3,63083904.0
VDP,3,1,20052408.0
VDP,3,5,11550557.0
VDP,3,10,8498309.0
VDP,3,20,7692843.5
VDP,3,40,7522269.0
VDP,4,-6,103531650.0
VDP,4,-3,33322582.0
VDP,4,1,13008717.0
VDP,4,5,7919170.5
VDP,4,10,6220236.5
VDP,4,20,5901848.0
VDP,4,40,5816748.5
