Model Type,KF,SNR (dB),Mean Sigma
VDP_Cov,0,-6,0.36231044
VDP_Cov,0,-3,0.14476432
VDP_Cov,0,1,0.053668853
VDP_Cov,0,5,0.038101796
VDP_Cov,0,10,0.03329848
VDP_Cov,0,20,0.03327788
VDP_Cov,1,-6,0.2793295
VDP_Cov,1,-3,0.11014398
VDP_Cov,1,1,0.041099973
VDP_Cov,1,5,0.024516836
VDP_Cov,1,10,0.022533758
VDP_Cov,1,20,0.020331249
VDP_Cov,2,-6,0.33463427
VDP_Cov,2,-3,0.123693995
VDP_Cov,2,1,0.044147834
VDP_Cov,2,5,0.024823565
VDP_Cov,2,10,0.021421866
VDP_Cov,2,20,0.020396113
VDP_Cov,3,-6,0.37561288
VDP_Cov,3,-3,0.13239235
VDP_Cov,3,1,0.055288475
VDP_Cov,3,5,0.03915382
VDP_Cov,3,10,0.029114295
VDP_Cov,3,20,0.030165508
VDP_Cov,4,-6,0.4217218
VDP_Cov,4,-3,0.15682645
VDP_Cov,4,1,0.07060802
VDP_Cov,4,5,0.051030792
VDP_Cov,4,10,0.04709194
VDP_Cov,4,20,0.042113148
VDP,0,-6,301477920.0
VDP,0,-3,181199760.0
VDP,0,1,112104310.0
VDP,0,5,88670440.0
VDP,0,10,78852616.0
VDP,0,20,74470930.0
VDP,1,-6,324804160.0
VDP,1,-3,198089820.0
VDP,1,1,124917464.0
VDP,1,5,98985440.0
VDP,1,10,87554160.0
VDP,1,20,83213770.0
VDP,2,-6,334781600.0
VDP,2,-3,210208860.0
VDP,2,1,139455950.0
VDP,2,5,114496820.0
VDP,2,10,103546250.0
VDP,2,20,98791864.0
VDP,3,-6,265120620.0
VDP,3,-3,158254350.0
VDP,3,1,101796010.0
VDP,3,5,82020010.0
VDP,3,10,73437784.0
VDP,3,20,69897810.0
VDP,4,-6,487708580.0
VDP,4,-3,303496060.0
VDP,4,1,191841740.0
VDP,4,5,149747120.0
VDP,4,10,132113600.0
VDP,4,20,124818630.0
