,epoch,modelSize,modelType,trainTime
0,0,297472,VDP,10.37671137
1,1,1493504,VDP,10.15681601
2,2,1493504,VDP,9.994427681
3,3,1493504,VDP,9.949448347
4,4,1493504,VDP,10.01280308
5,0,297472,VDP,9.977862597
6,1,1493504,VDP,10.16480827
7,2,1493504,VDP,10.10804033
8,3,1493504,VDP,10.02173448
9,4,1493504,VDP,11.01906347
10,0,297472,VDP,10.55962181
11,1,1493504,VDP,10.10198784
12,2,1493504,VDP,9.966965675
13,3,1493504,VDP,10.04672647
14,4,1493504,VDP,10.12965035
15,0,297472,VDP,10.06884623
16,1,1493504,VDP,10.18356085
17,2,1493504,VDP,10.17108035
18,3,1493504,VDP,10.08123636
19,4,1493504,VDP,10.09543729
20,0,297472,VDP,10.05655861
21,1,1493504,VDP,10.10677838
22,2,1493504,VDP,9.93748498
23,3,1493504,VDP,10.18336391
24,4,1493504,VDP,10.1990726
25,0,249344,DET,2.424157858
26,1,1251328,DET,2.418879509
27,2,1251328,DET,2.324487209
28,3,1251328,DET,2.340838671
29,4,1251328,DET,2.329121351
30,0,249344,DET,2.275340796
31,1,1251328,DET,2.501279593
32,2,1251328,DET,2.233477831
33,3,1251328,DET,2.265745163
34,4,1251328,DET,2.319867373
35,0,249344,DET,2.360621214
36,1,1251328,DET,2.406125307
37,2,1251328,DET,2.299349308
38,3,1251328,DET,2.283503771
39,4,1251328,DET,2.197766304
40,0,249344,DET,2.407987833
41,1,1251328,DET,2.37956214
42,2,1251328,DET,2.250635386
43,3,1251328,DET,2.285393238
44,4,1251328,DET,2.287254095
45,0,249344,DET,2.259176493
46,1,1251328,DET,2.367276669
47,2,1251328,DET,2.285217285
48,3,1251328,DET,2.307780981
49,4,1251328,DET,2.227482796
50,0,498688,BBB,2.373987436
51,1,2752000,BBB,2.611636877
52,2,2752000,BBB,2.467988491
53,3,2752000,BBB,2.457218647
54,4,2752000,BBB,2.34492898
55,0,498688,BBB,2.322092295
56,1,2752000,BBB,2.310676813
57,2,2752000,BBB,2.278066874
58,3,2752000,BBB,2.301388025
59,4,2752000,BBB,2.344768047
60,0,498688,BBB,2.278336048
61,1,2752000,BBB,2.384029627
62,2,2752000,BBB,2.344498873
63,3,2752000,BBB,2.589686155
64,4,2752000,BBB,2.24710536
65,0,498688,BBB,2.302865028
66,1,2752000,BBB,2.347548962
67,2,2752000,BBB,2.368608236
68,3,2752000,BBB,2.372632742
69,4,2752000,BBB,2.366722345
70,0,498688,BBB,2.3663311
71,1,2752000,BBB,2.291256666
72,2,2752000,BBB,2.365781307
73,3,2752000,BBB,2.439947844
74,4,2752000,BBB,2.377599001
75,0,251904,VDP_Cov,38.40220642
76,1,1296384,VDP_Cov,38.52520084
77,2,1296384,VDP_Cov,38.54398513
78,3,1296384,VDP_Cov,38.49459934
79,4,1296384,VDP_Cov,38.63691759
80,0,251904,VDP_Cov,38.47785258
81,1,1296384,VDP_Cov,38.61130238
82,2,1296384,VDP_Cov,38.63174057
83,3,1296384,VDP_Cov,38.55352473
84,4,1296384,VDP_Cov,38.6121254
85,0,251904,VDP_Cov,38.63661671
86,1,1296384,VDP_Cov,38.68049264
87,2,1296384,VDP_Cov,38.92980576
88,3,1296384,VDP_Cov,38.91307831
89,4,1296384,VDP_Cov,38.73384953
90,0,251904,VDP_Cov,38.52226949
91,1,1296384,VDP_Cov,38.53370047
92,2,1296384,VDP_Cov,38.66484165
93,3,1296384,VDP_Cov,38.59513974
94,4,1296384,VDP_Cov,38.6243031
95,0,251904,VDP_Cov,38.69824243
96,1,1296384,VDP_Cov,38.64624977
97,2,1296384,VDP_Cov,38.56924462
98,3,1296384,VDP_Cov,38.67350841
99,4,1296384,VDP_Cov,38.55183744
