Model Type,Checkpoint,SNR (dB),Mean Sigma
ModelType.VDP,0of8a9tc,-6,4.024575396497326e+18
ModelType.VDP,0of8a9tc,-3,1.0624134869795471e+18
ModelType.VDP,0of8a9tc,1,6.709470091584471e+17
ModelType.VDP,0of8a9tc,5,2.3710427087110144e+17
ModelType.VDP,0of8a9tc,10,8.167259129459507e+16
ModelType.VDP,0of8a9tc,20,6.357154181991629e+16
ModelType.VDP,0of8a9tc,40,6.659735486988288e+16
ModelType.VDP,9fo0cpku,-6,3.546092675100836e+17
ModelType.VDP,9fo0cpku,-3,1.3537708570207846e+17
ModelType.VDP,9fo0cpku,1,7.598147615955354e+16
ModelType.VDP,9fo0cpku,5,5.046568104440627e+16
ModelType.VDP,9fo0cpku,10,4.143659463632486e+16
ModelType.VDP,9fo0cpku,20,4.078799444508672e+16
ModelType.VDP,9fo0cpku,40,4.098072251256013e+16
ModelType.VDP,33khztx2,-6,97287845969920.0
ModelType.VDP,33khztx2,-3,71256762220544.0
ModelType.VDP,33khztx2,1,6756583342080.0
ModelType.VDP,33khztx2,5,3605167079424.0
ModelType.VDP,33khztx2,10,2209412284416.0
ModelType.VDP,33khztx2,20,1801151971328.0
ModelType.VDP,33khztx2,40,1842030575616.0
ModelType.VDP,67rvcwvs,-6,5242125696368640.0
ModelType.VDP,67rvcwvs,-3,1.3140906634903552e+16
ModelType.VDP,67rvcwvs,1,2458603562729472.0
ModelType.VDP,67rvcwvs,5,1486392886558720.0
ModelType.VDP,67rvcwvs,10,970115403218944.0
ModelType.VDP,67rvcwvs,20,785560524292096.0
ModelType.VDP,67rvcwvs,40,831562643931136.0
ModelType.VDP,mo0wsj5y,-6,67671236280320.0
ModelType.VDP,mo0wsj5y,-3,18236213035008.0
ModelType.VDP,mo0wsj5y,1,8809739190272.0
ModelType.VDP,mo0wsj5y,5,5192834088960.0
ModelType.VDP,mo0wsj5y,10,3527790559232.0
ModelType.VDP,mo0wsj5y,20,3067748286464.0
ModelType.VDP,mo0wsj5y,40,3187487277056.0
